node1ID node2ID branchID x1 y1 z1 x2 y2 z2 radius length R G B time type 
0 1 0 0.0000 0.0000 -3.0000 -0.0298 0.0539 -3.2137 0.0486 0.2224 1.0000 0.1000 0.0000 0.1031 1.0000 
1 2 0 -0.0298 0.0539 -3.2137 -0.0268 0.1051 -3.5740 0.0486 0.3639 1.0000 0.1000 0.0000 0.2727 1.0000 
2 3 0 -0.0268 0.1051 -3.5740 -0.0215 0.1205 -3.7681 0.0486 0.1948 1.0000 0.1000 0.0000 0.3639 1.0000 
3 4 0 -0.0215 0.1205 -3.7681 0.0940 0.1652 -4.0183 0.0486 0.2792 1.0000 0.1000 0.0000 0.4952 1.0000 
4 5 0 0.0940 0.1652 -4.0183 0.1504 0.1955 -4.1392 0.0486 0.1367 1.0000 0.1000 0.0000 0.5597 1.0000 
5 6 0 0.1504 0.1955 -4.1392 0.2013 0.2318 -4.2691 0.0486 0.1442 1.0000 0.1000 0.0000 0.6279 1.0000 
6 7 0 0.2013 0.2318 -4.2691 0.2824 0.2748 -4.4313 0.0486 0.1864 1.0000 0.1000 0.0000 0.7163 1.0000 
7 8 0 0.2824 0.2748 -4.4313 0.4388 0.3738 -4.7227 0.0486 0.3452 1.0000 0.1000 0.0000 0.8807 1.0000 
8 9 0 0.4388 0.3738 -4.7227 0.5664 0.4517 -4.9550 0.0486 0.2763 1.0000 0.1000 0.0000 1.0130 1.0000 
9 10 0 0.5664 0.4517 -4.9550 0.6752 0.5040 -5.1519 0.0486 0.2309 1.0000 0.1000 0.0000 1.1241 1.0000 
10 11 0 0.6752 0.5040 -5.1519 0.7583 0.5220 -5.3458 0.0486 0.2117 1.0000 0.1000 0.0000 1.2263 1.0000 
11 12 0 0.7583 0.5220 -5.3458 0.9536 0.5729 -5.6857 0.0486 0.3953 1.0000 0.1000 0.0000 1.4182 1.0000 
12 13 0 0.9536 0.5729 -5.6857 1.2277 0.6240 -6.0382 0.0486 0.4494 1.0000 0.1000 0.0000 1.6380 1.0000 
13 14 0 1.2277 0.6240 -6.0382 1.3550 0.6285 -6.2345 0.0486 0.2340 1.0000 0.1000 0.0000 1.7532 1.0000 
14 15 0 1.3550 0.6285 -6.2345 1.4435 0.6151 -6.4302 0.0486 0.2152 1.0000 0.1000 0.0000 1.8595 1.0000 
15 16 0 1.4435 0.6151 -6.4302 1.5670 0.5680 -6.7500 0.0486 0.3461 1.0000 0.1000 0.0000 2.0313 1.0000 
16 17 0 1.5670 0.5680 -6.7500 1.6550 0.5608 -7.0628 0.0486 0.3250 1.0000 0.1000 0.0000 2.1936 1.0000 
17 18 0 1.6550 0.5608 -7.0628 1.7165 0.5644 -7.2521 0.0486 0.1991 1.0000 0.1000 0.0000 2.2935 1.0000 
